City,State,Rent,TJ,ViolentCrime,PropertyCrime,Ortho Uni,Region,Population,VP_Ratio,COL,COL.Rent,Uni,Comfort,Air,Water,Superfund
Birmingham,Alabama,687,1,75.2,89,1,South,205659,1.183510638,74.1,9.271255061,1,7.3,26,81,88
Flagstaff,Arizona,1185.71,0,17.9,56.9,0,West,65870,3.17877095,117,10.1342735,1,6.9,80,57,89
Mesa,Arizona,940,1,19.3,37.6,1,West,508958,1.948186528,104.2,9.021113244,1,7.3,53,65,96
Yuma,Arizona,575,0,32.3,46.7,0,West,97908,1.445820433,88.2,6.519274376,0,7.3,58,20,90
Hot Springs,Arkansas,825,0,37.7,95.3,0,South,37169,2.527851459,80.9,10.19777503,0,7.1,47,100,97
Fayetteville,Arkansas,730.5,0,33.7,61.2,0,South,86751,1.816023739,92.9,7.863293864,1,7.4,56,56,99
Conway,Arkansas,583.33,0,20,60.5,0,South,66426,3.025,81.6,7.148651961,0,7.1,42,79,98
San Jose,California,2658.81,0,25,36.5,1,West,945944,1.46,214.5,12.39538462,1,8.8,45,40,84
Eureka,California,840,0,38.4,90.1,0,West,26998,2.346354167,98.9,8.493427705,0,7.6,64,53,84
Merced,California,1050,1,37.2,47.2,0,West,83316,1.268817204,104.7,10.0286533,1,8.1,44,20,93
Fresno,California,991.95,1,23.4,57.6,0,West,530093,2.461538462,102.6,9.668128655,0,8,43,22,89
Visalia,California,990,1,27,47,0,West,133800,1.740740741,100.7,9.831181728,0,8.2,32,30,92
Stockton,California,888.3,1,65.5,59.2,0,West,311178,0.9038167939,113.9,7.798946444,0,8.2,48,35,92
Modesto,California,1025,1,46.6,62.8,0,West,204106,1.347639485,113.7,9.014951627,0,8.3,51,34,91
Wilmington,Delaware,1237.5,1,80.1,68.7,0,NorthEast,70635,0.8576779026,89.9,13.76529477,0,7.3,39,12,69
Dover,Delaware,941.67,0,37.5,69.9,0,NorthEast,38079,1.864,93.6,10.06057692,0,7.4,67,32,54
Newark,Delaware,1112.5,0,17.1,33,0,NorthEast,33673,1.929824561,104.1,10.68683958,1,7.3,61,12,69
Idaho Falls,Idaho,640,0,22.1,36.4,0,MidWest,61535,1.647058824,87.7,7.297605473,0,6.7,60,44,89
Terre Haute,Indiana,675,0,19.4,69.7,0,MidWest,60753,3.592783505,74.3,9.084791386,1,7.1,59,33,68
Des Moines,Iowa,948.33,1,37.1,60.8,0,MidWest,216853,1.638814016,81.2,11.67894089,0,6.9,61,60,91
Iowa City,Iowa,889.15,1,18.8,35.8,1,MidWest,76290,1.904255319,94.6,9.399048626,1,7,64,73,97
Ames,Iowa,788.75,0,11.8,30,0,MidWest,67154,2.542372881,88.4,8.922511312,1,6.9,65,61,97
Wichita,Kansas,800,1,48.4,73.6,0,MidWest,389255,1.520661157,82.1,9.744214373,1,7.2,56,35,86
Lawrence,Kansas,775,0,19.7,56.8,0,MidWest,97286,2.883248731,95.2,8.140756303,1,7.2,59,45,97
Lexington,Kentucky,852,1,22,55.8,1,South,323780,2.536363636,88.4,9.63800905,1,7.3,54,70,98
Portland,Maine,1413,1,21.1,44.8,1,NorthEast,66700,2.123222749,108.2,13.05914972,0,6.5,54,70,85
Lewiston,Maine,1200,0,13.5,35.8,0,NorthEast,36299,2.651851852,85.2,14.08450704,0,6.3,67,66,83
Bangor,Maine,916.67,0,16.2,63.2,0,NorthEast,62673,3.901234568,83.3,11.00444178,0,6.4,66,60,82
Rochester Hills,Michigan,1083.33,1,8.9,15.7,0,MidWest,70995,1.764044944,116.15,9.32699096,1,6.8,70,27,94
Jackson,Mississippi,1166.67,0,45.8,71.8,1,South,164422,1.56768559,82.3,14.17582017,0,7.1,42,20,95
Columbia,Missouri,645,0,26.7,45.8,1,MidWest,121717,1.715355805,87.9,7.337883959,1,7.2,55,60,98
Billings,Montana,1049.38,0,23.9,68.1,0,MidWest,109550,2.849372385,94.9,11.05774499,0,7,71,36,88
Lincoln,Nebraska,738.55,1,17,47.5,1,MidWest,258379,2.794117647,89.8,8.224387528,1,7.2,64,30,90
Omaha,Nebraska,928.33,1,33.9,56.6,1,MidWest,408958,1.669616519,89.8,10.33775056,1,7.1,62,50,94
Las Vegas,Nevada,1188.86,1,40.9,43.4,1,West,648224,1.061124694,111.16,10.69503418,1,7.4,51,70,99
Manchester,New Hampshire,1025,0,34.8,47.3,0,NorthEast,109565,1.359195402,104.1,9.846301633,0,6.8,56,60,78
Nashua,New Hampshire,1305,1,15.5,28,0,NorthEast,86494,1.806451613,111.1,11.74617462,0,6.7,57,60,78
Concord,New Hampshire,950,0,14.3,32.7,0,NorthEast,42695,2.286713287,95.8,9.916492693,0,6.6,67,60,96
Portsmouth,New Hampshire,1350,1,12.2,30.4,0,NorthEast,20779,2.491803279,127.6,10.5799373,0,6.8,57,20,64
